term,pvalue,odds_ratio,log_pval
4-1BB-dependent immune response,0.017953197478093284,10.667008985879331,1.745858192020201
ACE inhibitor pathway,0.16337672711675139,5.932609937178755,0.7868098082970303
AKAP95 role in mitosis and chromosome dynamics,0.14662282396907042,6.724271844660194,0.8337984201977292
AKT phosphorylation of cytosolic targets,0.13812108773659357,7.204923717059638,0.859740010136222
AKT phosphorylation of nuclear targets,0.09433137905416296,11.210355987055015,1.0253438164545743
AKT signaling pathway,7.010541172588568e-05,21.544205340938554,4.154248455756973
ALK in cardiac myocytes,0.31392163042915083,2.723169771713461,0.5031787586791449
ALK1 pathway,0.028873961790521197,8.104585365853659,1.539493622571793
AMPK signaling,0.004809913647889527,6.283592269799167,2.3178627204207034
AP-1 transcription factor network,1.9971249841171093e-13,23.956185567010312,12.699594755252544
APC/C-mediated degradation of cell cycle proteins,0.5612472844942591,1.2260833530665405,0.2508457472483297
ATF2 transcription factor network,1.2833506924569488e-07,16.034789331271742,6.89165465072757
ATM pathway,0.00011884325726556203,11.672479747974798,3.925025453527128
ATM-dependent DNA damage response,9.061754705098918e-09,14.407899311591681,8.042787698023508
Abl role in Robo-Slit signaling,0.09433137905416296,11.210355987055015,1.0253438164545743
Acetylation and deacetylation of RelA in the nucleus,0.1550410986277819,6.303701456310679,0.8095531628533404
Actin cytoskeleton regulation,8.584939222227662e-16,11.942940013183916,15.06626277511513
Actions of nitric oxide in the heart,0.00010757149314299964,11.944508404328804,3.9683028031210195
Activated NOTCH1 signaling in the nucleus,0.27183590172757066,3.2511744440964607,0.5656931859681069
Activation of BH3-only proteins,0.16337672711675139,5.932609937178755,0.7868098082970303
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,0.14662282396907042,6.724271844660194,0.8337984201977292
Activation of NF-kappaB in B cells,0.004809913647889527,6.283592269799167,2.3178627204207034
Activation of NMDA receptor upon glutamate binding and postsynaptic events,0.0005206080046842264,12.03071573456969,3.2834891586173653
Activation of PKC through G-protein coupled receptors,0.07620181512199029,14.414701803051319,1.1180346836725295
Activation of TRKA receptors,0.001965540187726133,40.5619512195122,2.7065180721037385
Activation of calcium-permeable kainate receptor,0.005015798046164786,22.530081300813006,2.299659958062889
